ID,Query (Offseason),Query (In-Season),Type,Suggestion Pill 1,Suggestion Pill 2,Suggestion Pill 3,Suggestion Pill 4,Status
d1,Who led the league in home runs last season?,Who leads the league in home runs this season?,Leaderboard,all-time single season hr leaders,career hr leaders,2025 hr leaders (AL),2025 hr leaders (NL),PASS (fixed: "league" added to commonWordLastNames)
d2,Top 10 in OPS last season,Top 10 in OPS this season,Leaderboard,all-time single season ops leaders,career ops leaders,2025 ops leaders (AL),2025 ops leaders (NL),PASS (fixed: league filter uses team IN clause)
d4,Who had the most stolen bases last season?,Who has the most stolen bases this season?,Leaderboard,all-time single season sb leaders,career sb leaders,2025 sb leaders (AL),2025 sb leaders (NL),PASS
d5,How did Juan Soto do last year?,How is Juan Soto doing this season?,Season Lookup,2025 ops leaders,Juan Soto career ops,,PASS
d6,How many home runs did Ohtani hit last season?,How many home runs has Ohtani hit this season?,Single Stat,2025 hr leaders,Shohei Ohtani career hr,,PASS
d7,Judge home vs away last season,Judge home vs away this season,Home/Away Splits,Aaron Judge 2025,,,PASS
d8,Who has come closest to hitting .400 since Ted Williams?,,Since Leaderboard,all-time single season avg leaders,avg leaders since 1942 (AL),avg leaders since 1942 (NL),,PASS
d9,Top 5 in batting average last season,Top 5 in batting average this season,Leaderboard,all-time single season avg leaders,career avg leaders,2025 avg leaders (AL),2025 avg leaders (NL),PASS
d10,Lowest ERA among starters last season,Lowest ERA among starters this season,Leaderboard (Pitching),all-time single season era leaders,career era leaders,2025 era leaders (AL),2025 era leaders (NL),PASS
d11,Compare Lindor and Bobby Witt Jr last season,Compare Lindor and Bobby Witt Jr this season,Comparison,Francisco Lindor vs lefties,Bobby Witt Jr vs lefties,,,PASS
d12,Kyle Tucker's splits vs lefties last season,Kyle Tucker's splits vs lefties this season,Platoon Splits,Kyle Tucker 2025,,,PASS
d13,Did Trea Turner have any hot streaks last season? [afterApril12],Did Trea Turner have any hot streaks this season?,Streak,Trea Turner cold streaks 2025,,,PASS (fixed: pill now includes season year)
d14,Elly De La Cruz last season,Elly De La Cruz this season,Season Lookup,2025 ops leaders,Elly De La Cruz career ops,,PASS
d16,What does BABIP measure?,,Stat Definition,babip leaders,career babip leaders,,PASS
d17,How many times has someone hit 50 home runs?,,Milestone (Backend),hr leaders,career hr leaders,,PASS
d18,How many players have stolen 60 bases in a season?,,Milestone (Backend),sb leaders,career sb leaders,,PASS
d19,Who had the highest OPS+ last season?,Who has the highest OPS+ this season?,Leaderboard,all-time single season ops+ leaders,career ops leaders,2025 ops+ leaders (AL),2025 ops+ leaders (NL),PASS (pill 2 uses OPS not OPS+ by design — career OPS+ unsupported)
d20,Who hit the most doubles last season?,Who has hit the most doubles this season?,Leaderboard,all-time single season 2b leaders,career 2b leaders,2025 2b leaders (AL),2025 2b leaders (NL),PASS
d21,Who led the league in RBIs last season?,Who leads the league in RBIs this season?,Leaderboard,all-time single season rbi leaders,career rbi leaders,2025 rbi leaders (AL),2025 rbi leaders (NL),PASS
d22,Most strikeouts by a pitcher last season,Most strikeouts by a pitcher this season,Leaderboard (Pitching),all-time single season so leaders,career so leaders,2025 so leaders (AL),2025 so leaders (NL),PASS (fixed: "so" added to strikeouts aliases)
d23,Top 10 in hits last season,Top 10 in hits this season,Leaderboard,all-time single season h leaders,career h leaders,2025 h leaders (AL),2025 h leaders (NL),PASS (fixed: "h" added to hits aliases)
d24,Who had the best WHIP last season?,Who has the best WHIP this season?,Leaderboard (Pitching),all-time single season whip leaders,career whip leaders,2025 whip leaders (AL),2025 whip leaders (NL),PASS
d25,Most saves last season,Most saves this season,Leaderboard (Pitching),all-time single season sv leaders,career sv leaders,2025 sv leaders (AL),2025 sv leaders (NL),PASS
d26,Who hit the most triples last season?,Who has hit the most triples this season?,Leaderboard,all-time single season 3b leaders,career 3b leaders,2025 3b leaders (AL),2025 3b leaders (NL),PASS
d27,Top 5 in walks last season,Top 5 in walks this season,Leaderboard,all-time single season bb leaders,career bb leaders,2025 bb leaders (AL),2025 bb leaders (NL),PASS
d28,Who led the league in wins last season?,Who leads the league in wins this season?,Leaderboard (Pitching),all-time single season w leaders,career w leaders,2025 w leaders (AL),2025 w leaders (NL),PASS
d29,Mookie Betts,,Season Lookup (Player Card),2025 ops leaders,Mookie Betts career ops,,PASS
d30,Freddie Freeman,,Season Lookup (Player Card),2025 ops leaders,Freddie Freeman career ops,,PASS
d31,Gunnar Henderson,,Season Lookup (Player Card),2025 ops leaders,Gunnar Henderson career ops,,PASS
d32,Bobby Witt Jr,,Season Lookup (Player Card),2025 ops leaders,Bobby Witt Jr career ops,,PASS
d33,Yordan Alvarez's slash line last season,Yordan Alvarez's slash line this season,Slash Line,Yordan Alvarez last season,Yordan Alvarez vs lefties,,PASS
d34,When was Bryce Harper's coldest stretch last season? [afterApril12],When was Bryce Harper's coldest stretch this season?,Streak,Bryce Harper hot streaks 2025,,,PASS (fixed: pill now includes season year)
d35,Corey Seager's stats last season,Corey Seager's stats this season,Season Lookup,2025 ops leaders,Corey Seager career ops,,PASS
d36,Rafael Devers in September last season [offseasonOnly],,Month Stats,Rafael Devers 2025,,,PASS
d38,What does ISO measure?,,Stat Definition,iso leaders,career iso leaders,,PASS
d41,Compare Soto and Judge last season,Compare Soto and Judge this season,Comparison,Juan Soto vs lefties,Aaron Judge vs lefties,,PASS
